Registration No.,Registration Type,Supplier Name,Street Address,"Municipality, Province, State, Postal Code/Zip"
381154,ALC Supplier (ALC),Inspired Gaming (UK) Limited,107 STATION ST,"BURTON UPON TRENT, STAFFORDSHIRE   DE14 1SZ"
382527,ALC Supplier (ALC),Bet Rite Inc.,483 ROUTE 530,GRANDE DIGUE NB E4R 5E1
382922,ALC Supplier (ALC),NeoPollard Interactive LLC,920 N FAIRVIEW AV,LANSING MI 48912
383522,ALC Supplier (ALC),Nanoptix Inc.,699 CHAMPLAIN ST,DIEPPE NB E1A 1P6
383791,ALC Supplier (ALC),IGT Global Solutions Corporation/IGT Lottery S.p.A./IGT Lottery Holdings B.V.,10 MEMORIAL BOULEVARD,"PROVIDENCE, RHODE ISLAND  02903"
384436,ALC Supplier (ALC),Deloitte LLP / Deloitte Inc.,8 Adelaide St. W,"Toronto, Ontario  M5H 0A9"
384802,ALC Supplier (ALC),IGT UK Interactive Limited,10 FINSBURY SQUARE FLOOR 3,LONDON
384805,ALC Supplier (ALC),Virtual Gaming Technologies Limited,66 OLD THEATRE ST APT 5,VALLETTA MALTA 1427
385559,ALC Supplier (ALC),Scientific Games Products (Canada) ULC,"3000, BOUL DE L'ASSOMPTION","MONTREAL, CANADA  H1N 3V5"
385949,ALC Supplier (ALC),AGS LLC,6775 S EDMOND ST SUITE 300,LAS VEGAS NV 89118
385953,ALC Supplier (ALC),Everi Interactive LLC,7250 S TENAYA WA SUITE 100,LAS VEGAS NV 89113
386197,ALC Supplier (ALC),Bally Gaming Canada Ltd.,6601 SOUTH BERMUDA ROAD,"LAS VEGAS , NV  89110"
386945,ALC Supplier (ALC),PQA Professional Quality Assurance Ltd.,231 REGENT ST UNIT 301,FREDERICTON NB E3B 3W8
386951,ALC Supplier (ALC),"BMM North America, Inc.  BMM Compliance","815 Pilot Road, Suite G","Las Vegas, Nevada"
389173,ALC Supplier (ALC),Pariplay USA Limited,9E LOOCKERMAN ST,CITY OF DOVER DE 19901
375576,ALC Supplier (ALC),Aruze Gaming America Inc.,955 GRIER DRIVE SUITE A,LAS VEGAS NEVADA  89119
366024,Bingo Supplier (BS),Les Entreprises Carosielli Inc. Bingo,SERVI-JEUX ENRG.,3615 BOUL INDUSTRIEL MONTREAL  H1H 2Y6
386978,Bingo Supplier (BS),Video King,1045 N 115TH  ST SUITE 200,OMAHA NE 68154
377689,Bingo Supplier (BS),057953 NB Ltd o/a Atlantic Bazaar,76 BEAVERBROOK STREET,"MONCTON, NEW BRUNSWICK  E1C 9S7"
365342,Casino Operator (CO),"Great Canadian Gaming Corporation ""Casino Operator""",95 Schooner Street,Coquitlam British Columbia
364942,Gaming Related (GR),Gaming Laboratories International Inc.,600 AIRPORT ROAD,"LAKEWOOD, NEW JERSEY  08701"
389190,Gaming Related (GR),HLT Advisory Inc.,4516 MOUNTAINVIEW RD,BEAMSVILLE ON L0R 1B3
367244,Gaming Related (GR),Aruze Gaming America Inc.,955 GRIER DRIVE SUITE A,LAS VEGAS NEVADA  89119
370227,Gaming Related (GR),Inspired Gaming (UK) Limited,107 STATION ST,"BURTON UPON TRENT, STAFFORDSHIRE   DE14 1SZ"
370231,Gaming Related (GR),Inspired Gaming (Holdings) Limited,107 STATION ST,"BURTON UPON TRENT, STAFFORDSHIRE   DE14 1SZ"
370952,Gaming Related (GR),Konami Gaming Inc.,585 KONAMI CIRCLE,"LAS VEGAS, NEVADA  89119"
371124,Gaming Related (GR),Eclipse Compliance Testing,6401 DAVIS INDUSTRIAL PARKWAY SUITE A,SOLON OH 44139
371854,Gaming Related (GR),Paladin Technologies Inc. (Amal. No BC1131311),#1350 – 355 Burrard Street,"Vancouver, BC"
371864,Gaming Related (GR),Macklyn Casino Services Inc.,"483, ROUTE 530","GRAND DIGUE , NB  E4R 5E1"
372717,Gaming Related (GR),MCL Enterprises Inc. dba Regency Gaming,#6 - 1730 Quebec Avenue,"SASKATOON, SASKATCHEWAN  S7K 1V9"
372719,Gaming Related (GR),Seymour Security Innovations,259  Finnigan Street,Coquitlam British Columbia V3K 5J6
372770,Gaming Related (GR),Bet Rite Inc.,483 ROUTE 530,GRANDE DIGUE NB E4R 5E1
374048,Gaming Related (GR),Everi Interactive LLC & Everi Games Canada Inc. ( MGAM),7250 S TENAYA WAY SUITE 100,LAS VEGAS NV 89113
374070,Gaming Related (GR),Creation Robco Inc.,53 BRASSARD,"ST. JOSEPH-DU-LAC, QUEBEC  JON 1M0"
376137,Gaming Related (GR),DWS Data Wiring Solutions Inc.,127 CHAIN LAKE DR,HALIFAX NS B3S 1B3
376561,Gaming Related (GR),Dramis Communications Solutions Ltd.,75 AKERLEY BL,DARTMOUTH NS B3B 1R7
378278,Gaming Related (GR),AGS LLC,6775 S EDMOND ST SUITE 300,LAS VEGAS NV 89118
